"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 22 17:00:36 UTC 2026","Thu Jan 22 17:01:03 UTC 2026","27234","","exportreportmanageemployeeTest.spec.js","","","","exportreportmanageemployeeTest",""
"passed","Thu Jan 22 17:19:00 UTC 2026","Thu Jan 22 17:19:51 UTC 2026","50934","","manageemployeeTest.spec.js","","","","manageemployeeTest",""
"passed","Thu Jan 22 17:00:10 UTC 2026","Thu Jan 22 17:00:36 UTC 2026","26025","","exportreportlivestreamingindiTest.spec.js","","","","exportreportlivestreamingindiTest",""
"passed","Thu Jan 22 17:23:17 UTC 2026","Thu Jan 22 17:23:56 UTC 2026","38792","","utalitysettingslivestreamingTest.spec.js","","","","utalitysettingslivestreamingTest",""
"passed","Thu Jan 22 16:54:15 UTC 2026","Thu Jan 22 16:54:35 UTC 2026","19768","","excusedimageTest.spec.js","","","","excusedimageTest",""
"passed","Thu Jan 22 17:06:26 UTC 2026","Thu Jan 22 17:07:02 UTC 2026","35723","","filterchipemotiondetectionTest.spec.js","","","","filterchipemotiondetectionTest",""
"passed","Thu Jan 22 17:10:25 UTC 2026","Thu Jan 22 17:11:02 UTC 2026","36610","","filterchipondemandmedianoiseTest.spec.js","","","","filterchipondemandmedianoiseTest",""
"passed","Thu Jan 22 16:54:29 UTC 2026","Thu Jan 22 16:54:50 UTC 2026","21595","","excusedvideoTest.spec.js","","","","excusedvideoTest",""
"passed","Thu Jan 22 16:52:24 UTC 2026","Thu Jan 22 16:53:03 UTC 2026","39971","","editemployeeTest.spec.js","","","","editemployeeTest",""
"passed","Thu Jan 22 16:51:21 UTC 2026","Thu Jan 22 16:51:41 UTC 2026","19919","","deleteretainimageTest.spec.js","","","","deleteretainimageTest",""
"passed","Thu Jan 22 17:03:05 UTC 2026","Thu Jan 22 17:03:33 UTC 2026","27314","","exportreporttopfivefailedTest.spec.js","","","","exportreporttopfivefailedTest",""
"passed","Thu Jan 22 16:51:02 UTC 2026","Thu Jan 22 16:51:43 UTC 2026","41140","","deleteimageTest.spec.js","","","","deleteimageTest",""
"passed","Thu Jan 22 16:57:28 UTC 2026","Thu Jan 22 16:57:50 UTC 2026","22827","","exportreportdeleteentitiesvideoindiTest.spec.js","","","","exportreportdeleteentitiesvideoindiTest",""
"passed","Thu Jan 22 17:04:25 UTC 2026","Thu Jan 22 17:05:07 UTC 2026","41935","","filterchibulkuploadTest.spec.js","","","","filterchibulkuploadTest",""
"passed","Thu Jan 22 16:47:36 UTC 2026","Thu Jan 22 16:48:18 UTC 2026","42308","","autosyncwatchersearchTest.spec.js","","","","autosyncwatchersearchTest",""
"passed","Thu Jan 22 16:45:37 UTC 2026","Thu Jan 22 16:46:14 UTC 2026","36384","","activitylogsactionTest.spec.js","","","","activitylogsactionTest",""
"passed","Thu Jan 22 16:51:41 UTC 2026","Thu Jan 22 16:52:24 UTC 2026","42165","","deleteretainvideoTest.spec.js","","","","deleteretainvideoTest",""
"passed","Thu Jan 22 16:48:34 UTC 2026","Thu Jan 22 16:49:14 UTC 2026","40016","","batchschedulingdeactivatedemployeeTest.spec.js","","","","batchschedulingdeactivatedemployeeTest",""
"passed","Thu Jan 22 17:08:27 UTC 2026","Thu Jan 22 17:09:05 UTC 2026","37755","","filterchipmanageemolyeeTest.spec.js","","","","filterchipmanageemolyeeTest",""
"passed","Thu Jan 22 16:57:13 UTC 2026","Thu Jan 22 16:57:34 UTC 2026","20884","","exportreportdeleteentitiesvideoconsolidatedTest.spec.js","","","","exportreportdeleteentitiesvideoconsolidatedTest",""
"passed","Thu Jan 22 16:46:19 UTC 2026","Thu Jan 22 16:46:49 UTC 2026","30777","","activitylogssettingsTest.spec.js","","","","activitylogssettingsTest",""
"passed","Thu Jan 22 17:21:36 UTC 2026","Thu Jan 22 17:21:57 UTC 2026","20839","","retainvideoTest.spec.js","","","","retainvideoTest",""
"passed","Thu Jan 22 16:47:01 UTC 2026","Thu Jan 22 16:47:33 UTC 2026","32046","","aisettingsTest.spec.js","","","","aisettingsTest",""
"passed","Thu Jan 22 17:01:03 UTC 2026","Thu Jan 22 17:01:29 UTC 2026","25889","","exportreportmonthlymailTest.spec.js","","","","exportreportmonthlymailTest",""
"passed","Thu Jan 22 17:09:56 UTC 2026","Thu Jan 22 17:10:27 UTC 2026","30668","","filterchipondemandmediaimageTest.spec.js","","","","filterchipondemandmediaimageTest",""
"passed","Thu Jan 22 17:20:14 UTC 2026","Thu Jan 22 17:20:49 UTC 2026","35182","","noisedeductionsearchTest.spec.js","","","","noisedeductionsearchTest",""
"passed","Thu Jan 22 17:00:42 UTC 2026","Thu Jan 22 17:01:06 UTC 2026","24610","","exportreportmanageuserTest.spec.js","","","","exportreportmanageuserTest",""
"passed","Thu Jan 22 16:59:45 UTC 2026","Thu Jan 22 17:00:15 UTC 2026","30556","","exportreportindretainnoiseTest.spec.js","","","","exportreportindretainnoiseTest",""
"passed","Thu Jan 22 16:55:43 UTC 2026","Thu Jan 22 16:56:05 UTC 2026","22723","","exportreportconsolidatedexcusedvideoTest.spec.js","","","","exportreportconsolidatedexcusedvideoTest",""
"passed","Thu Jan 22 16:57:04 UTC 2026","Thu Jan 22 16:57:28 UTC 2026","23156","","exportreportdeleteentitiesimageindiTest.spec.js","","","","exportreportdeleteentitiesimageindiTest",""
"passed","Thu Jan 22 16:55:13 UTC 2026","Thu Jan 22 16:55:34 UTC 2026","21610","","exportreportautosyncutilityTest.spec.js","","","","exportreportautosyncutilityTest",""
"passed","Thu Jan 22 16:57:51 UTC 2026","Thu Jan 22 16:58:12 UTC 2026","21310","","exportreportexmptedemployeeTest.spec.js","","","","exportreportexmptedemployeeTest",""
"passed","Thu Jan 22 16:49:52 UTC 2026","Thu Jan 22 16:50:28 UTC 2026","35917","","batchschedulingwdsyncmanagerTest.spec.js","","","","batchschedulingwdsyncmanagerTest",""
"passed","Thu Jan 22 16:50:47 UTC 2026","Thu Jan 22 16:51:21 UTC 2026","34188","","deletedentitysearchTest.spec.js","","","","deletedentitysearchTest",""
"passed","Thu Jan 22 17:03:33 UTC 2026","Thu Jan 22 17:03:59 UTC 2026","26796","","exportreporttotalidealemployeeTest.spec.js","","","","exportreporttotalidealemployeeTest",""
"passed","Thu Jan 22 17:22:10 UTC 2026","Thu Jan 22 17:22:47 UTC 2026","36311","","suspiciousvideoTest.spec.js","","","","suspiciousvideoTest",""
"failed","Thu Jan 22 17:18:11 UTC 2026","Thu Jan 22 17:18:57 UTC 2026","45778","","handgesturesearchTest.spec.js","","","","handgesturesearchTest",""
"passed","Thu Jan 22 17:15:15 UTC 2026","Thu Jan 22 17:15:40 UTC 2026","25207","","globalsearchsuspiciousactivityTest.spec.js","","","","globalsearchsuspiciousactivityTest",""
"passed","Thu Jan 22 17:15:18 UTC 2026","Thu Jan 22 17:15:43 UTC 2026","25436","","globalsearchtotalexmptedTest.spec.js","","","","globalsearchtotalexmptedTest",""
"passed","Thu Jan 22 17:21:50 UTC 2026","Thu Jan 22 17:22:10 UTC 2026","19767","","screenshotcaptureTest.spec.js","","","","screenshotcaptureTest",""
"passed","Thu Jan 22 17:08:52 UTC 2026","Thu Jan 22 17:09:30 UTC 2026","37697","","filterchipmanageuserTest.spec.js","","","","filterchipmanageuserTest",""
"passed","Thu Jan 22 16:54:55 UTC 2026","Thu Jan 22 16:55:19 UTC 2026","23507","","exportbulkuploadsamplefileTest.spec.js","","","","exportbulkuploadsamplefileTest",""
"passed","Thu Jan 22 17:07:59 UTC 2026","Thu Jan 22 17:08:52 UTC 2026","52597","","filterchiplivestreamingTest.spec.js","","","","filterchiplivestreamingTest",""
"passed","Thu Jan 22 17:21:30 UTC 2026","Thu Jan 22 17:21:50 UTC 2026","20862","","retainnoiseTest.spec.js","","","","retainnoiseTest",""
"passed","Thu Jan 22 17:07:54 UTC 2026","Thu Jan 22 17:08:27 UTC 2026","33606","","filterchiphandgestureTest.spec.js","","","","filterchiphandgestureTest",""
"passed","Thu Jan 22 17:03:33 UTC 2026","Thu Jan 22 17:04:01 UTC 2026","27484","","exportreporttotaluniqueloginindifailedTest.spec.js","","","","exportreporttotaluniqueloginindifailedTest",""
"passed","Thu Jan 22 16:48:48 UTC 2026","Thu Jan 22 16:49:18 UTC 2026","29789","","batchschedulingmonthalymailTest.spec.js","","","","batchschedulingmonthalymailTest",""
"passed","Thu Jan 22 16:57:34 UTC 2026","Thu Jan 22 16:57:57 UTC 2026","23034","","exportreportemotiondeductionTest.spec.js","","","","exportreportemotiondeductionTest",""
"passed","Thu Jan 22 17:04:51 UTC 2026","Thu Jan 22 17:05:16 UTC 2026","25212","","filterchipactivitylogsTest.spec.js","","","","filterchipactivitylogsTest",""
"passed","Thu Jan 22 16:59:45 UTC 2026","Thu Jan 22 17:00:10 UTC 2026","25183","","exportreportindretainvideoTest.spec.js","","","","exportreportindretainvideoTest",""
"passed","Thu Jan 22 17:12:27 UTC 2026","Thu Jan 22 17:13:12 UTC 2026","44661","","filterchiputalitystatsTest.spec.js","","","","filterchiputalitystatsTest",""
"passed","Thu Jan 22 17:17:54 UTC 2026","Thu Jan 22 17:18:09 UTC 2026","14765","","login.spec.js","","","","Example Login Test",""
"passed","Thu Jan 22 17:05:07 UTC 2026","Thu Jan 22 17:05:49 UTC 2026","41908","","filterchipautosyncTest.spec.js","","","","filterchipautosyncTest",""
"passed","Thu Jan 22 17:20:15 UTC 2026","Thu Jan 22 17:20:36 UTC 2026","21269","","nsfwsearchTest.spec.js","","","","nsfwsearchTest",""
"passed","Thu Jan 22 17:12:32 UTC 2026","Thu Jan 22 17:13:09 UTC 2026","37338","","generalsettingsaudioTest.spec.js","","","","generalsettingsaudioTest",""
"passed","Thu Jan 22 17:01:54 UTC 2026","Thu Jan 22 17:02:18 UTC 2026","24043","","exportreportondemandmediaimageTest.spec.js","","","","exportreportondemandmediaimageTest",""
"passed","Thu Jan 22 17:17:06 UTC 2026","Thu Jan 22 17:17:39 UTC 2026","32654","","livestreamingsearchTest.spec.js","","","","livestreamingsearchTest",""
"passed","Thu Jan 22 17:01:29 UTC 2026","Thu Jan 22 17:01:54 UTC 2026","24448","","exportreportnsfwactivityTest.spec.js","","","","exportreportnsfwactivityTest",""
"passed","Thu Jan 22 16:47:33 UTC 2026","Thu Jan 22 16:47:57 UTC 2026","23874","","audittrailsettingsTest.spec.js","","","","audittrailsettingsTest",""
"passed","Thu Jan 22 17:23:54 UTC 2026","Thu Jan 22 17:24:37 UTC 2026","42341","","utalitysettingsnoiserecordingTest.spec.js","","","","utalitysettingsnoiserecordingTest",""
"passed","Thu Jan 22 17:11:49 UTC 2026","Thu Jan 22 17:12:27 UTC 2026","38476","","filterchiptotalemployeeTest.spec.js","","","","filterchiptotalemployeeTest",""
"passed","Thu Jan 22 16:56:40 UTC 2026","Thu Jan 22 16:57:04 UTC 2026","24900","","exportreportdeactivatedemployeeTest.spec.js","","","","exportreportmonthlymailTest",""
"passed","Thu Jan 22 17:19:02 UTC 2026","Thu Jan 22 17:19:42 UTC 2026","39529","","manageemoloyeesearchTest.spec.js","","","","manageemployeesearchTest",""
"passed","Thu Jan 22 17:16:08 UTC 2026","Thu Jan 22 17:16:32 UTC 2026","24064","","globalsearhscreenlockstatsTest.spec.js","","","","globalsearhscreenlockstatsTest",""
"passed","Thu Jan 22 16:58:12 UTC 2026","Thu Jan 22 16:58:35 UTC 2026","23571","","exportreportglobalsearchemployeeTest.spec.js","","","","exportreportglobalsearchemployeeTest",""
"passed","Thu Jan 22 17:13:47 UTC 2026","Thu Jan 22 17:14:26 UTC 2026","39556","","generalsettingsvideoTest.spec.js","","","","generalsettingsvideoTest",""
